Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM,Total_nM,Perc_Diss
Homarine,TN397,S14,C,9/12/21,06:27:00,3.5272,-144.4492,0.19246692847342745,0.3634530825130835,0.555920010986511,0.6537866515510312
Homarine,TN397,S15,A,10/12/21,06:30:00,6.4995,-146.652,0.18696231390793025,0.4521172713467868,0.6390795852547171,0.7074506552522516
Homarine,TN397,S15,B,10/12/21,06:30:00,6.4995,-146.652,0.19449944281412812,0.2915258409021336,0.48602528371626175,0.5998162043609329
Homarine,TN397,S15,C,10/12/21,06:30:00,6.4995,-146.652,0.17806394434281547,0.2712774935968518,0.4493414379396673,0.6037224050395192
Homarine,TN397,S16,A,11/12/21,06:00:00,9.2497,-148.6967,0.02548255078753729,0.1190272140170948,0.1445097648046321,0.8236620838599519
Homarine,TN397,S16,B,11/12/21,06:00:00,9.2497,-148.6967,0.0194576901903731,0.10606554547613384,0.12552323566650694,0.8449873436813822
Homarine,TN397,S16,C,11/12/21,06:00:00,9.2497,-148.6967,0.02038742601702051,0.10236767100051684,0.12275509701753735,0.8339178859994069
Homarine,TN397,S17,A,12/12/21,06:00:00,11.92,-150.6948,0.02449045907062083,0.11720696478307192,0.14169742385369274,0.8271636956794075
Homarine,TN397,S17,B,12/12/21,06:00:00,11.92,-150.6948,0.0232815019999868,0.12477649712974334,0.14805799912973014,0.8427541764927724
Homarine,TN397,S17,C,12/12/21,06:00:00,11.92,-150.6948,0.02809550958819176,0.11558211060772,0.14367762019591176,0.8044545173431874
Homarine,TN397,S18,A,13/12/2021,06:40:00,14.772,-152.8644,0.01674144337420581,NA,NA,NA
Homarine,TN397,S18,A,13/12/2022,06:40:00,14.772,-152.8644,0.01674144337420581,NA,NA,NA
Homarine,TN397,S18,A,13/12/2023,06:40:00,14.772,-152.8644,0.01674144337420581,NA,NA,NA
Homarine,TN397,S18,B,13/12/2021,06:40:00,14.772,-152.8644,0.0174552618369408,NA,NA,NA
Homarine,TN397,S18,B,13/12/2022,06:40:00,14.772,-152.8644,0.0174552618369408,NA,NA,NA
Homarine,TN397,S18,B,13/12/2023,06:40:00,14.772,-152.8644,0.0174552618369408,NA,NA,NA
Homarine,TN397,S18,C,13/12/2021,06:40:00,14.772,-152.8644,0.01841735249909819,NA,NA,NA
Homarine,TN397,S18,C,13/12/2022,06:40:00,14.772,-152.8644,0.01841735249909819,NA,NA,NA
Homarine,TN397,S18,C,13/12/2023,06:40:00,14.772,-152.8644,0.01841735249909819,NA,NA,NA
Homarine,TN397,U1,A,18/11/2021,22:00:00,32.25921,-117.3388,1.407018565803012,2.985112608197517,4.392131174000529,0.6796501493097614
Homarine,TN397,U1,B,18/11/2021,22:00:00,32.25921,-117.3388,1.49268609620697,2.2829394173214954,3.7756255135284653,0.6046519733330231
Homarine,TN397,U1,C,18/11/2021,22:00:00,32.25921,-117.3388,1.897100398788041,2.3637503208478643,4.260850719635905,0.5547601820346922
Homarine,TN397,U2,A,19/11/2021,00:00:00,32.11654,-117.58582,0.1703839759026626,0.5275674433278136,0.6979514192304762,0.7558798919120777
Homarine,TN397,U2,B,19/11/2021,00:00:00,32.11654,-117.58582,0.1322777084461457,0.7691492255235948,0.9014269339697405,0.8532574261303512
Homarine,TN397,U2,C,19/11/2021,00:00:00,32.11654,-117.58582,0.11946876263715492,0.6150764101672271,0.734545172804382,0.8373568201652715
Homarine,TN397,U3,A,19/11/2021,02:09:00,31.5634,-118.25816,0.1759682457656531,0.38085152018714413,0.5568197659527973,0.683976294439644
Homarine,TN397,U3,B,19/11/2021,02:09:00,31.5634,-118.25816,0.1666086446448709,0.44970258329244583,0.6163112279373167,0.7296680036116165
Homarine,TN397,U3,C,19/11/2021,02:09:00,31.5634,-118.25816,0.13383137950405227,0.5035233669415765,0.6373547464456288,0.790020580766995
Homarine,TN397,U4,A,19/11/2021,06:10:00,31.26598,-119.15959,0.7570027783502657,1.578237972184299,2.335240750534565,0.6758352310454591
Homarine,TN397,U4,B,19/11/2021,06:10:00,31.26598,-119.15959,0.6799559751716869,1.2296592367619985,1.9096152119336853,0.6439303735525022
Homarine,TN397,U4,C,19/11/2021,06:10:00,31.26598,-119.15959,0.5506540400111816,1.3350439877065752,1.8856980277177566,0.707983976269184
Homarine,TN397,U5,A,19/11/2021,17:11:00,30.10413,-121.27565,0.4035387794953441,0.47677370294045696,0.8803124824358011,0.5415959814874337
Homarine,TN397,U5,B,19/11/2021,17:11:00,30.10413,-121.27565,0.4426044474799622,0.628214214802547,1.0708186622825093,0.5866672266091008
Homarine,TN397,U5,C,19/11/2021,17:11:00,30.10413,-121.27565,0.23707620808327223,0.31812605359691165,0.5552022616801839,0.5729912782310737
Homarine,TN397,U6,A,21/11/2021,17:50:00,25.98,-128.46,0.01726984671020385,0.05702023675864396,0.07429008346884781,0.7675349669320852
