mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
Ectoine,211202_Smp_OBi1_1,19705216139.25993,Particulate,1,OBi1_set2,Glucose + NH4,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,19705216139.25993,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_2,16893708319.33375,Particulate,1,OBi1_set2,Glucose + NH4,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,16893708319.33375,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_3,18635152059.298805,Particulate,1,OBi1_set2,Glucose + NH4,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,18635152059.298805,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_4,10094191317.603764,Particulate,1,OBi1_set2,Homarine,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,18807377344.488384,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_5,10783679878.870792,Particulate,1,OBi1_set2,Homarine,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,20092024240.75265,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_6,8086966212.710329,Particulate,1,OBi1_set2,Homarine,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,15067539374.7814,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_7,36084140011.45796,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,41394718656.91719,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_8,36973712027.65725,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,42415210854.42954,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Ectoine,211202_Smp_OBi1_9,29563654436.344425,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,9.47658536585366,143.082053,targeted,NA,NA,NA,NA,NA,33914599529.716022,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26
Glucosamine,211202_Smp_OBi1_1,1191906.7922015914,Particulate,1,OBi1_set2,Glucose + NH4,10.47974358974359,180.087199,targeted,NA,NA,NA,NA,NA,1191906.7922015914,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,28
Glucosamine,211202_Smp_OBi1_2,1580299.313672308,Particulate,1,OBi1_set2,Glucose + NH4,10.47974358974359,180.087199,targeted,NA,NA,NA,NA,NA,1580299.313672308,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,28
Glucosamine,211202_Smp_OBi1_3,1191210.2615188991,Particulate,1,OBi1_set2,Glucose + NH4,10.47974358974359,180.087199,targeted,NA,NA,NA,NA,NA,1191210.2615188991,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,28
Glucosamine,211202_Smp_OBi1_4,6694857.755460148,Particulate,1,OBi1_set2,Homarine,10.47974358974359,180.087199,targeted,NA,NA,NA,NA,NA,12473779.43540936,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,28
