mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
Citric acid,L-Homoserine,Particulate,0.22355350425855752,0.8489249042168158,0.4382904073463614,0.7,0.0017929191484259564,0.1
Citric acid,L-Lysine,Particulate,1.004259588684821,2.6793040280029685,0.05010703738105888,0.1,0.959209348983965,1
Citric acid,L-Proline,Particulate,0.8484083384516308,4.919815408393123,0.03909080834461702,0.1,0.19101695288585177,0.4
Citric acid,L-Serine,Particulate,1.101029380753003,4.078461622597359,0.059033465147424594,0.1,0.48298676093409176,0.7
Citric acid,L-Tyrosine,Particulate,0.7881658190362371,1.671488215233661,0.20672281004855736,0.2,0.08651600115515237,0.1
Citrulline,Adenine,Particulate,1.033221190219273,0.10578468495184945,0.0018050276574377421,0.1,0.9359137839973244,0.7
Citrulline,Adenosine,Particulate,0.9473478630525919,0.11620264665086687,0.019051963083354623,0.1,0.8055820169332859,1
Citrulline,Adenosine monophosphate,Particulate,0.4711362058251879,0.9491397419960139,0.9627863691634222,0.7,0.32155409242046856,0.2
Citrulline,Cytosine,Particulate,0.7290980429966067,0.07852882734418096,0.009735686605795777,0.1,0.14884103029182313,0.2
Citrulline,Deoxyadenosine,Particulate,0.7750289375422835,0.10357302934543738,8.404134207024403e-4,0.1,0.04736394316805506,0.1
Citrulline,Guanosine,Particulate,0.8777419662220939,0.11587146489109279,0.01778518597181405,0.1,0.5602468336650188,1
Citrulline,L-Arginine,Particulate,0.8224514806499732,0.16442071728809016,1.7957986292039554e-4,0.1,0.01707854910043101,0.1
Citrulline,L-Glutamic acid,Particulate,0.19193998372213145,0.04289095593048504,3.3207644254849767e-7,0.1,4.765896634544155e-6,0.1
Citrulline,L-Homoserine,Particulate,0.18550455384591286,0.02809068933959646,0.001370278080619723,0.1,0.002156653762302523,0.1
Citrulline,L-Lysine,Particulate,0.8345972171286168,0.08982006573370013,0.0033536700973498326,0.1,0.11129746803578158,0.1
Citrulline,L-Proline,Particulate,0.7018255166020498,0.15966212560908233,0.004646292141733631,0.1,0.034246078261857424,0.1
Citrulline,L-Serine,Particulate,0.9127138187362027,0.13057393035845458,0.017790919210039866,0.1,0.560066610069674,0.7
Citrulline,L-Tyrosine,Particulate,0.6537733127814689,0.054151233521005156,2.303721889355034e-7,0.1,0.0046524909834640155,0.1
Creatine,Adenine,Particulate,0.01802221362856766,0.02597563849037123,0.30433110840990657,0.4,0.30143318758112225,0.4
Creatine,Adenosine,Particulate,0.01714059388957975,0.03326340376583784,0.2706711020217193,0.7,0.26506345823540045,0.7
Creatine,Adenosine monophosphate,Particulate,0.006139888388872052,0.25045326316918437,0.5027316401842002,0.4,0.3909510868656697,0.2
Creatine,Citrulline,Particulate,0.016376912060180146,0.2705156199215154,0.4248414263633299,0.7,0.3119751341455058,0.7
Creatine,Cytosine,Particulate,0.010282301058517799,0.01763638338307318,0.33133889066924416,0.7,0.32858533450172556,0.7
Creatine,Deoxyadenosine,Particulate,0.013069065273496836,0.027185988143854378,0.29895029121936284,0.7,0.2938346593678613,0.7
Creatine,Guanosine,Particulate,0.016370240540760698,0.03363999376162415,0.26801916387292796,0.7,0.26205348025449865,0.4
Creatine,L-Arginine,Particulate,0.013902875151497168,0.04500329710031842,0.31085801577238525,0.7,0.29934416553804466,0.7
